基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000529,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,4.98亿元,缺失,67.2,36.2,91.6,34.0,117.1,325.5,333.34,275.78,214.6,190.82,,,,,,,,,,
000530,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.23亿元,缺失,21.8,21.3,21.9,10.2,38.3,119.7,127.5,88.3,25.6,31.3,,,,,,,,,,
000531,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.25亿元,缺失,45.2,5.5,26.7,-5.6,27.6,85.41,115.36,35.05,15.23,11.16,,,,,,,,,,
000532,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,1.82亿元,缺失,61.0,34.6,81.3,45.4,138.8,313.9,321.4,258.3,203.1,203.7,,,,,,,,,,
000533,货币型-普通货币发行日期,0.30%（每年）,0.05%（每年）,17.31亿元,缺失,,,,,,,,,,,,,,,,,,,,
000534,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,4.88亿元,缺失,80.2,53.9,63.3,23.6,77.0,206.7,294.1,188.3,164.2,218.7,,,,,,,,,,
000535,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.59亿元,缺失,58.1,8.8,5.6,-17.5,-4.4,66.9,97.4,81.6,48.77,42.38,,,,,,,,,,
000536,债券型-混合二级发行日期,1.00%（每年）,0.20%（每年）,8.41亿元,缺失,,,,,,,,,,,,,,,,,,,,
000538,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.32亿元,缺失,30.0,29.2,33.2,24.0,34.2,48.6,36.3,-4.9,-13.1,-16.6,,,,,,,,,,
000539,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000540,货币型-普通货币发行日期,0.20%（每年）,0.05%（每年）,180.46亿元,缺失,,,,,,,,,,,,,,,,,,,,
000541,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,7.24亿元,缺失,118.4,59.8,31.3,-14.2,42.7,187.4,267.1,137.5,94.2,83.5,,,,,,,,,,
000542,货币型-普通货币发行日期,0.15%（每年）,0.05%（每年）,2.52亿元,缺失,,,,,,,,,,,,,,,,,,,,
000543,货币型-普通货币发行日期,0.15%（每年）,0.05%（每年）,254.67亿元,缺失,,,,,,,,,,,,,,,,,,,,
000545,混合型-灵活发行日期,,0.20%（每年）,2.67亿元,缺失,,,,,,,,,,,,,,,,,,,,
000546,债券型-混合一级发行日期,0.40%（每年）,0.10%（每年）,29.87亿元,缺失,14.1,10.8,11.3,10.1,17.6,16.3,13.3,15.0,20.9,29.4,,,,,,,,,,
000547,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,4.05亿元,缺失,,,,,,,,,,,,,,,,,,,,
000548,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,63.70亿元,缺失,,,,,,,,,,,,,,,,,,,,
000549,股票型发行日期,1.20%（每年）,0.20%（每年）,0.61亿元,缺失,102.8,67.3,82.2,29.1,120.9,216.8,288.8,183.0,148.3,170.5,,,,,,,,,,
000550,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,2.11亿元,缺失,,,,,,,,,,,,,,,,,,,,
000551,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.89亿元,缺失,,,,,,,,,,,,,,,,,,,,
000552,债券型-长债发行日期,0.68%（每年）,0.19%（每年）,5.28亿元,缺失,18.5,12.9,8.3,7.3,13.9,8.2,11.2,11.3,14.9,15.99,,,,,,,,,,
000553,债券型-长债发行日期,0.68%（每年）,0.19%（每年）,2.00亿元,缺失,17.7,11.6,8.1,7.2,13.4,8.0,10.6,10.2,15.35,16.02,,,,,,,,,,
